,0
67,평점 리뷰 예고편 기대 엄청 했는데 엄청 실망 제 코드에는 아닌가봅니다 이도저도 아닌 짬뽕물같음 어줍잖게 반전으로 관객 마음 잡을라는거같음  아ㅋㅋㅋ진짜 ㅋㅋㅋ평점쓸라고 여기까지 들어와보긴 처음이네요 어이가없어가지고 살수가없어요 미치겠어요  이건 19세이상관라이다 절레절레가족들끼리 서로 칼부림하는영화가15세라니  0점은 왜 없는거냐어렵게만 만들면 그냥 무조건 작품성 뛰어난거임이해도 전혀 안되고 황정민 팬티한장으로 그걸 다 이해하라는거냐영화가 무슨 답이 전혀없어ㅋㅋ  절대보지마세요 스크린부시고나왔습니다  후  이 영화를 보고 해석하려는 사람은 뽀로로보면서 이것은 인류를 동물로 빗대어 사회를 표현한거라고 해석해야할급임 그런식으로 해석하려면 못할 영화없음 억지로 해석말고 이 영화를 보면서 이해가 안된거는 영화를 허술하게 만 진짜  너무 별로에요 복선 암시 다 좋아 근데 결말을 잘 해놓던지 그냥 감독이 하고싶은거 다한듯 조잡함  
68,별로에요 보기힘든영화  
69,좀 기분이 마이 드럽네 실망 스러움  열린결말이기보다는 이해가 안가고 기분나쁜영화귀신도 좀비도 도깨비도 악마도 뭣도 애매한영화배우들의 연기력이 엄청나게 대단한 영화집갈때 무서운 영화또 다시 꺼내보고 싶지않은 영화  
70,보는 동안 공포로 인한 재미와 스릴은 있었으나 끝나고 느낌이 너무 안 좋았습니다  반전의 반전에 반전을 억지로 우겨넣은 듯한 공포영화 왜 라는 질문없이 그냥 연출만 시켜 공포감만 자극시키는 영화는 솔직히 거부감만 든다 차라리 팔로우가 더 무서웠다  
71,무서운거 조금이라도 싫어하시는 분은 절대 피하세요 큰일납니다 ㅜㅜ  두시간 반동안 벽을 보는 것이 낫다  별 이런 허접쓰레기를  좀비나올때 기도안차서 헛 웃음나왔다 우째 결말은없고 시작과 끝이 똑같냐 노답영화  이게 뭐야 정말 어처구니가 없네  
72,나참황정민씨가 이런 말도 안되는 영화를일본배우는 왜 섭외한 거임좀비는 또 왜  
73,화가 난다기대하던 내용이 아니다결말도 기대에 미치지 못하고 헛웃음만 남음끝에 더내용이 나올줄 알았음  영화를 만드는 목적을 망각한 작품그저 잔인하고 사악함 불쾌감 정신분열 등을 잘 포장된 해설과 높은 연기력이 접하지 말아야 할 것을 접하게 하는  게다가 15금으로 인해 피해 받는 청소년으로 인해 가슴아프다 
74,보면서 좀답답하고 짜증낫음 괴성지르고 질질짜는것만기억남쓰레기장르  
75,후회막급인 영화 스토리  뭘 전달하고자 하는건지  단지 이야기 맞추기 스토리 전개되는것도 한 사람만의 포커스로 지루함 주변인물등 받혀주는  인물부족  그냥 말도안되는 좀비 영화임 핵노잼  
76,진심 재미 없다 잔인하게 찍었다고 했는데 나만 졸린거야  개연성 제로에 억지짜맞추기 15세관람가 치곤 쓸데없이 난발하는 잔인한 장면들 하나부터 열까지 감독의 의도가 도저히 이해가 안가는 영화다 보고나면 기분만 더러워짐  키야 평론가들 국뽕오지구요  
77,진짜 시간 아깝습니다 게다가 길기도 하고 지루하고  여자들 심약하신 분  안보는게 좋습니다 잔인하고   진짜 주변인들 본다하면 말리고 싶습니다  그리고 마무리 뭐임   별반개도 아깝습니다  
78,호불호가 많이 나뉘는 영화라는데 저는 별로네요  정신만 사납고 ㅠㅠ 돈이 아까웠어요  시간만 질질 끌다가 결말도 확실치 않고 정말 마지막에 짜증이 나서 극장에서 소리치고 싶었음 원래 이런 후기나 평가 잘 안하지만 오늘 만큼은 꼭 집에가서 후기를 쓰겠다 다짐을 하게 한 영화 개인적이지만 내 인생  감독이 앞부분에 어이없는 개그소재 좀 넣고 관객의 긴장을 푼다음  이리저리 관객을 갖고 논 느낌이 난다 영화가 매우 불친절 하다 영화내용의 개연성이 좀 떨어진다 관객으로 하여금 내가 머리가 나빠서 이해를 못하는가 
79,이것도 영화냐 쓰레기다  
80,아 좀비영화인지 무슨 영화인지 몰랏네요긴장감을 주거든 끝까지 주던가 중간중간에 어이없이 웃길라고 하는데 분위기 깨지던데요  
81,살은 영화에 날렸다 배우들은 찍으면서 이해가 楹 좀비엑소시스트골룸검은사제들ㅋㅋㅋ 맘비우고보면 코미디 볼수록 어이가 없음에 황당해서 웃음만 나옴 노답영화  평론가들은 영화 똥구녕으로 보나보다  
82,영화관에서 보기 아깝고 집에서 보면 도중에 끌 영화평점 알바들 ㅗ  아무리 영화가 좋아도 노동자인 스탭들을 막대하는 사람 작품은  
83,보는 내내 내속에서 곡소리만 남  와진짜 24년살면서 첨이런거쓰게만든다 진짜 이런게 영화냐 보다가암걸려서 죽을뻔했다 황정민어그로영화다  진짜 사람싸이코만드는영화임 정신병생길거같다 대체 무슨생각으로만든영활까 진짜기대했는데 기대에못미치는정도를넘어서서 충격적이다 보지마세요 진짜진심인데 홍길동진짜재밌음  큰 스크린으로 보기 싫은류의 잔인한 영화 ㅠㅠㅠ  
84,전달하고자는 내용이 뭐예요무섭고잔인한게 보고싶으면 안말림중간에 웃기도 함그게 아니면 새드엔딩에 찜찜한 결말과 뭐야이영화싶음 3시간가까이나 앉아서 봤는데반전만 거듭하다 해결못해 무책임한결말이 가져온  
85,존나 비싼장난감 들고 노는 손주나홍진 재롱에 박수치는 늙은할배 이동진 한국영화 질 떨어진다  황정민 처음으로 잘못고른 영화  평론가 평점보고 보러갔는데 진짜거지같네앞으로 이감독작품안봄 ㅅㄱ  
86,보지마세요 보는 내내 잔인하기만하고 스트레스 받아요 제 남자친구는 결말 스포 당하고 봤는데도 이해가 안간데요  1점도 아깝습니다 도대체 무슨이야기를 하고싶은건지 스트레스받는영화 지친일상에 스트레스 더 추가하고싶으신분들은 보시길  주가 한창 높은 탑배우를 방패로 내세운 급 오컬트 좀비영화 막상 뚜껑 열어보니 그 안에는 좀비 식인 피부병 피범벅뿐  
