,0
41,올해 공포영화 거의 다 봤는데 애나벨이 제일 무서움 ㄷㄷ  동전 떨어지는소리가 이렇게 무서울 줄이야ㅋㅋ  재밌고 좀 무서워요 볼만함 ㅋ  
42,하 해 떠있을 때 보면 안 무서울 줄 알았는데  사무라이도 가끔 무서워  잔인한 소리가 나면서 말야       
43,하 애나벨 시리즈 보고 이렇게 지린거 첨이다 화면 소리 분위기 다 무서워ㅠㅠ 뒤로갈수록 쉴틈없이 무섭다ㅠㅠ 오늘은 에어컨 없어두 될듯 공포맛집이군  고구마먹다 체하고 뱉고 소화시킬 찰나 집으로  진짜 베이비시터 친구 새기 너무 발암이라서 매초마다 턱주가리 날리고싶다 발암캐에 대한 빡침때문에 영화에 집중이 안될정도 진짜 개 민폐덩어리에 눈새에 최악중에 최악  우리나라도 애나벨컨저링처럼 공포 시리즈가 있었으면 공포 좋아하는 사람에겐 킬타임으론 딱인데  구스범스 공포버전 같음 안개가 늑대로 변할 때 피식했다  스토리 개연성은 그렇다 쳐도 공포영화가 이렇게 안무서워도 되는거냐  분위기 잘가고 동전귀신때는 인시디어스느낌 잘주다가 귀신붙은 티비에서 다 말아먹음 진짜 제임스완말고 다른감독 손대지말라고 쫌  개노잼너무 뻔하고 내용도 크게 없고 신선한 부분도 없고 티비에서 틀어줘도 안 볼 영화  좀 답답한 장면들이 있긴 했지만 흥미진진하게 무섭다  애나벨 시리즈중 제일 노잼  와 컨저링 유니버셜 사상 최악이다 더 넌보다도 재미없음ㅋㅋㅋㅋ 진심 하  
44,너무재미쉉어아아이아우웅  
45,너무 무서웠어요 그렇지만 재미있었어요  노답 3000300030003000여백의 미  씹노잼 1점도 아까움 ㅋㅋ  속터지게 지루하네요  무서워죽겠다가 아니라 다니엘라 때문에 혈압이 올라 터져 죽을것같아요  싸구려 화장을 하는 양아치 중고생은 나라 불문하고 같은 짓을 함 ㅇ ㅇ  이번에도 애기들 너무 귀엽다  
46,  너무 시시하게 끝나고 결말이 너무 뻔함  친구년 진짜 패고싶었음  안좋은 평도 있어서 고민됬었는데 보길 잘한듯 꿀잼ㅡ 근데 제발 영화관에서 예의 좀 지킵시다 문자벨소리에 맥주는 파니까 그렇다쳐도 트름하고 술주정까지어휴 인형보다 사람이 더 무서웠ㄷ  왜케 평점 낮음 간만에 엄청 쫄아가며 잘봤넼ㅋ  4인가요 이거 양옆의자가 하도 떨리길래 4인줄 알았눈뎅ㅎ  재미 잇었음 나름 욕할 정도는 아님  영화가 무서워서 스트레스가 다 날라갔네요 진짜 재밌게 봤습니다  초반에 상자닫히는소리가 제일무서움  
47,재미는 있었으나 이걸 과연 극장에서 봐야 하는지는 의문이 드는영화  
48,전반부에 너무 지루했으며 후반부에 몰아치는 경향이 강해 공포의 위력이 반감된듯끝도 허무했음   그만하고 개봉좀  나는 느낌이 공포 놀이기구를 여러개 연달아서 탄것 같아서 좋았음일단 이 영화로 더 넌이랑 요로나의 저주가 싼 똥은 어찌저찌 치우는듯 ㅇㅇ그리고 스핀오프작 나와서 다른 물건들의 사연도 보고 싶다  나쁘지 않았음 점프스케어 씬만큼은 명품  잠시라도 쉴 틈이 없이 영화 내용 중 놀랄수 있는 부분들이 있었고 보고 싶었던 영화 였기에 볼 만하기도 해서 좋았습니다  진짜 무섭지도않고 개 씹 노잼 공포영화중 제일 재미없음  전작들에 비해 서사는 없지만 깜놀요소 진짜 많아서 도중에 뛰쳐나가고 싶었어요 공포영화 좋아하는 저는 만족  공포시트콤워렌 가의 유령친구들 꽤 무서운 순간들이 있었지만 꼬마여자애가 이미 부모님들처럼 침착하게 퇴마에 대한 상황판단하고 지휘내리는 시점에서 무섭다기보단 좀 웃길정도다 공포물로선 초점맞춰져야할 애나벨이 싱거워 안녕하세요앞으로도 좋은 작품들 기대해 보겠습니다아멘  엄청 무서웠습니당  ㅠ ㅠ ㅠ 그리고 다니엘라가 너무 화났습니다  재밌어요 ㅋㅋㅋㅋ 금데 전작에 비해서는 별로  오 심장이 쫄깃하네요 ㄷㄷ  무섭다 무서워 공포영화완전팬이라 나오는족족보는데 진짜무섭다 ㅠㅠ 안무섭다는애들은 이해가안갈정도 ㅠㅠ  애나벨보다 무서운 양옆자리의 코골이소리 2019년블록버스터 한여름을 강타할 수면제  언제잠들지모른다  애나벨자장가  공포 주려고 있는 애들 없는 애들 다 끌어다 보여주긴해서 공포스럽긴합니다 감독은 청춘공포물을 만들고 싶었던건지 뭔지 모르겠지만 급 공포물 같기도해서 시리즈 색을 잃어버린 듯 그냥 돈 아까운 정도는 아닌데 꼭 볼 시리즈 안보고 봤는데도 재미있어요 엄청 추천합니다  애나벨 인형이 좀 섬뜩하네요  다양한 귀신들 덕분에 무서웠어요  혼자서 엄청 쭈굴이되서 봤네요  역시 여름엔 제임스완표 공포영화가  실화라는게 더 소름끼친다  에바야  휴가나와서보는데 오늘 엄마랑잔다  조금지루하다가도  재미있게봤습니다ㅋㅋ  워레 부부가 실제로잇다니 ㄷㄷ  진짜 소름돋은 영화였음 소리가 아우  괜히봤다 몇일 또 악몽 꾸겟다  컨저링 시리즈의 에피소드 중 하나라고 보면되요 내가 모르는 유령이 있어서 흥미롭고 재밌음 효과음이나 소리나 꽥꽥 지르는 한국공포보다 훨 나아요  재밌었어요 ㅋㅋㅋㅇ 공포매냐들 추천  역시 제임스완표 공포영화는 믿고본다 ㅋㅋ  컨저링 시리즈중에 제일 무서워요  아진짜 이거 대박이네ㄷㄷ  더넌보다는 덜 무섭지만 깜짝놀라는 장면이 많다 특히 음향효과 장난아님 그리고 여자애 넘 예쁘더라  재미있게 봤습니다 근데 무서운거 잘보는 사람은 좀 재미가 떨어질수있겠네요  정말 대단한 워렌 부부  컨저링 유니버스 챙겨보는 사람이라면   진짜 핵무서움 ㅠㅠㅠㅠ 컨저링 보다 더무서워요   혼자 보지말걸 그래따  하지 말라는걸 해야 스토리 진행이 된다 하지 말라는거 잘하는 사람들과 참 잘맞는 영화지 싶다  생각보다 더 무서운것 같아요ㅋㅋ  너무 아쉽다 기존 작품중에선 최악임  애나벨 인형 얼굴이 자꾸 떠오른닧ㅇ  솔까 12편 다 봤지만 재미없었는데 이번엔 무섭더라  컨저링 잼나게 봤음 이것도 추천  중간 중간 놀라기도 하구 좋았다ㅎㅎ  컨저링 관련된 영화는 다 챙겨보는 편  매 순간 놀라고 또 놀라고 또또 놀람  효과음도 크고 긴장감있게 잘봤습니다  이 영화는 부부 나올때가 제일 무서움 특히 초반  기대를 너무 많이 했나봐요 이전 시리즈에 비해 무섭지두 않구 그냥 반전없는 공포영화  다니엘라 나쁜 그런데 중간부까지 너무지루하다 마지막 결말도 허무하고 기대보다 실망  이번 컨저링 시리즈는 패스하셔도 무방합니다  저는 재미있었습니다  유일하게 보는 공포영화끝에가 살짝 그렇지만 진짜 긴장감짱이고 재밌는데 무서워요ㅎㅎ  2보단 나았다 ㄹㅇ 2는 최악 더넌수준  분위기만 무서움 나머지는 글쎄  에나벨시리즈중잴안무서웟어요ㅜ조금아쉬움이남아요ㅜㅜㅜ  영화보다 갑툭튀 적응되면 많이 무섭지 않아요 주디 영혼 뺏기려할때 해리포터 생각남 ㅋㅋ 해덕이라그른가  무서우면서 스토리 이어짐이 좋았따  
49,에나벨중 조금 아쉬움작품  아진짜 심장이 아플정도로 무서웠음 ㅜㅜ  베라 파미가님이 출연해주셔서 그나마 용서가 되는영화  
50,여태 본 공포중 제일 10노잼  영화보면서 악령을 응원하기는 또 첨이네 무서웠다는 댓글은 그냥 공포영화를 못보는 사람이기 때문에 무서웠다는거지 영화가 자체가 무서운건 아니니까 낚이지 말길 바람 아주 그냥 80년대 공포영화 보는듯한 연출과 뻔하디 감독은 전임 감독들한테 미안하지도 않냐  워렌부부는 카메오인가  꼭 봐야할 올해의 공포영화이 영화를 선택한 당신이 공포 데헷   극한직업 베이비시터  보는내내 소리와 악령때매 깜짝 놀라는부분이 많앗습니다  원래도 좀 잘 놀래는 편이고그런데 재밋게 보앗어요  컨저링 처럼 무서운거 나오면 더 좋겟네요 그래도 만족햇어요 뒷부분이 허무햇지만ㅎㅎㅎ  딱좋음스토리 개연성좋고 긴장감도 많음  동전 좀 그만 떨구자 영화 보고나서 동전 떨어지는 소리 못듣겠다  작난감이야  효과음만 요란스럽다  여자아이 너무예쁘더라  무섭다 역시 돈 안 아까운 시리즈 다니엘라 처음엔 발암이었다 근데 의문인게 ㅡ 제작진이 영화 좀 더 잔인하고 고어스럽게 만들 수도 있을거 같은데 ㅡ 일부러 자제한 느낌 도대체 왜  오랜만에 빵빵터지는 영화 잘봤습니다 ㅋㅋㅋ너무 웃겨서 음료수 쏟앗네여ㅋㅋㅋ  문소리 이잉 앗살라말라이쿰  와씨이게 무슨 애나벨거의 나오지도 않고이상한괴물들만쥬라기공원인줄 영화관에 사람 꽉 찼는데 비명소리 한번도 못 듣고조는사람 발생하는 공포영화네요 급 해피엔딩ㅋㅋㅋ  진짜 정말 최악 최근 엑스맨과 비견될만함  에나벨 시리즈 중에서는 제일 재미있었다  난 그저 컨저링 시리즈 광팬이어서 만족함  영화관 안이 조용해짐 옆사람의 큰 숨소리가 엄청 크게 들리고 계속 무서움  잼나네요 은근히 스릴있습니다  무서워무서워무서워어  코믹영화로 보기 좋아요  
